row_index,docket_no,link,trademark,status,reg_no,app_ser_no,first_use_date,goods,eu_reg_no,filing_date,registration_date,next_action,owner_breeder,party_selling,status_category,needs_review,needs_review_reasons,source_row
29,93002.0299999995,,Forever Parasol,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,59
30,93002.0309999994,,Golden Mustard,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,True,Duplicate trademark name also on source row 44,60
31,93002.0319999993,,Golden Trendsetter (see 00500),To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,61
32,93002.0329999992,,Golden Veil,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,62
33,93002.0339999991,,Graceful,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,63
34,93002.034999999,,Gelato,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,True,Duplicate trademark name also on source row 52,64
35,93002.0359999989,,Gentle Trendsetter,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,65
36,93002.0369999988,,Holiday Island 'Galapagos',To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,66
37,93002.0379999987,,Holiday Island 'Oahu',To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,67
38,93002.0389999986,,Holiday Island 'Rarotonga',To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,68
39,93002.0399999985,,Ivory Flow,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,69
40,93002.0409999984,,Lemon Chiffon,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,70
41,93002.0419999983,,Juliana's Heart,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,71
42,93002.0429999982,,Julianne,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,72
43,93002.0439999981,,Lilac Veil,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,73
44,93002.044999998,,Lucky Flow,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,74
45,93002.0459999979,,Maestro Babylon Eyes,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,75
46,93002.0469999978,,Magic Trendsetter,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,76
47,93002.0479999977,,Merry Babylon Eyes,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,77
